Model,RMSE,MAE,R2
Random Forest,142.27091956096427,33.1349036809712,0.9892315803733222
Gradient Boosting,170.6272389393548,46.96155439109992,0.9845112482126162
Ridge Regression,550.4777256620279,202.11220313897496,0.8387873210805027
